timestamp,tweet_text,username,followers_count
2020-10-25 04:55:35,b'AFCAT needs to clear this blur image of  misconception that is automatically getting enlarged #afcat_transparency  #NDTV #aajtak #afcat2020 #afcat_transparency #afcat_answerkey @PMOIndia @IAF_MCC @TheLallantop @studyiq @SHIFUJIJAIHIND_  @cdacindia @DefenceMinIndia',b'harshit03408883',2
2020-10-25 04:54:08,b'@aajtak @ashraf_wani Dear brahmaand ke sabse tej channel #aajtak get your Rashifal checked and stop peddling #FakeNews . Do #FactCheck',b'vsalgotra',1222
2020-10-25 04:39:55,b'Breaking Lutyens channels write 2 CBI to stop probe in #TRPScam Means they r cahoots with #ParambirSingh in going after @republic The same channels #AajTak #IndiaToday #ZeeNews #IndiaTV were questioning SSR mental health  &amp;doing paid PR 4 Rhea Connect the dots #PMSpeakUpOnSSRCase https://t.co/vqHP5aWVGV',b'Muskaan016',859
2020-10-25 04:34:02,"b'Bihar election mai BJP ko supports karne wale godi media ,specially #aajtak and other news channel #ZeeNews #abpnews ya sb ka boycott hona chaiye  #GodiMedia k against,@PMOIndia @BJP4India @INCIndia @GouravVallabh @aajtak @anjanaomkashyap @SwetaSinghAT @sardanarohit @RJDforIndia'",b'amitrkmahto10',65
2020-10-25 03:56:02,b'@SushantBSinha #aajtak #indiatv #ndtv #IndiaToday #ABPnews are very very bad news there are the great dalaal.',b'Mohan_1995',24
2020-10-25 02:50:39,"b""@SushantBSinha #NDTV #IndiaToday #Aajtak #indiatvlive #ABPNews most of them don't have news just lot of shouting. We don't need opinions just the news @WIONews is actually the best of them all.""",b'SunovaaTech',15
2020-10-25 02:49:10,"b'(2of2) Employment, at least govt should stop their earning from this source.   #NOGSTONEXAMINATIONFEE  NO GST ON EXAMINATION FEE please share this tweet so that it reaches to our GST COUNCIL  #gstcouncil #NarendraModi #nirmalaseetharaman #student #aajtak #ZeeNews #RepublicBharat'",b'JAYDEVOJHA1',11
2020-10-25 02:28:46,"b""#RajatSharmaScaredofCBI  #ABPnews  #aajtak  #RepublicTV   If any body attacks all nearby community people's stand together .. Why Republic is not supported by any other ..even not individually. @sudhirchaudhary  DNA ,@RajatSharmaLive Aap ke adalat -Wakwqs to me now onwards .""",b'AshishP00964610',1
2020-10-25 01:39:57,b'Shame on #aajtak #news  NBSA direct to AIR apologies in #ShushantSinghRajput case  Its really high time to #BoycottAajtak so called #desh_ka_No_1_channel also named into #TRPScam \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94  #India now with #Truth #RepublicTV =#No_1  @republic @ArnabGoswamiRTV #BharatwithArnabGoswami',b'Shubhamtomaradi',23
2020-10-25 01:31:19,b'justice de do . . . vote le lo. justice do justice do.  #ZeeNews #aajtak #SoorajPancholi #Maharashtra #Bollywood #PMModiJustice4SSR #302B4Election4SSR #NarcoTest4SSRKillers https://t.co/Rxe9vNV48Q',b'Chandni10001',32
2020-10-25 01:18:26,"b'The NBSA has directed channels like #AajTak, Zee News, and #IndiaTV to apologise for sensationalising the death of actor ...  #SushantSinghRajput.  https://t.co/tTZV3ImP9d'",b'JharkhandVikas',906
2020-10-25 00:32:27,b'Shame @aajtak  NBSA orders #AajTak to apologise live on October 27 for spreading fake news on Sushant Singh Rajput case https://t.co/Wf2nwbgLNJ via @OpIndia_com',b'gaurav_harit',430
2020-10-24 23:29:47,b'Brother of #rohitsardana #aajtak #ZeeNews exact copy\xf0\x9f\x98\x82 https://t.co/KWIf46sIoU',b'Prakashkumarana',13
2020-10-24 23:27:36,"b'The toxicity &amp; #Islamophobia on #IndianNewsChannel is brought to you by #Amazon, #Flipkart #Walmart #Godrej #Jio and many more.  @amazonIN @Flipkart @IKEA  How long these multinationals fortunes continue to sponsor #Islamophobia  on #RepublicTV #TimesNow #ZeeNews #aajtak #ABPnews https://t.co/iBGFSgZZI9'",b'Ithefarhan',71
2020-10-24 22:47:34,b'#AsaduddinOwaisi #abp  #aajtak  #news #TeamKhabib  #indiatvlive  #NDTVExclusive  Miss you khabib nurmagomedov retired today \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/hinrY9JLk4',b'hmsmail200321',0
2020-10-24 22:11:08,b'@SushantBSinha #NDTV and #AajTak Worst channel. #TV9Bharat is the best channel.',b'thevijayvlogs',386
2020-10-24 22:03:53,"b'BreakingNews \xf0\x9f\x98\x82  #SushantSinghRajput death News broadcasting authority directs four channels to apologise for coverage #NDTV, #AajTak, #IndiaToday, #ABP News &amp; now even #IndiaTV has joined this list of ghatiya channels  \xf0\x9f\x98\x82#ParamBirWitnessScam #ParamBirScam  #RepublicFightsBack https://t.co/tSpNhOKrPp'",b'twiiit_sam',12175
2020-10-24 21:09:45,"b'@LowBPNews1 @SushantBSinha @indiatv I still feel #aajtak, #indiatoday, #abp and #indiatv are full of nationalist journalists, barring rajdeep most main, india today journalists are not left toadies. #Ndtv is the biggest congress stooge.'",b'Kunal5095',9
2020-10-24 21:08:29,"b'@Neha68326953 @SushantBSinha I still feel #aajtak, #indiatoday, #abp and #indiatv are full of nationalist journalists, barring rajdeep most main, india today journalists are not left toadies. #Ndtv is the biggest congress stooge.'",b'Kunal5095',9
2020-10-24 20:04:26,"b'@RajatSharmaLive @SDhawan25 @indiatvnews Do u know reason behind this appel by NBA which is headed by #RajatSharmaLive?  All #AajTak #IndiaToday #ZeeNews #IndiaTvNews are based in #Noida #UttarPradesh  and these ""Political Lutyens Dalals"" know it well that worse for them is #CBI knocking on their door #ArnabWeAreWithYou https://t.co/z2VJ5LE9iE'",b'ramniranjan187',2993
2020-10-24 20:00:20,"b""@aajtak @thakkar_sameet And look who's preaching .....\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e  #NBSA fines #aajtak for telecasting #faketweet of #SushanthSinghRajput !! https://t.co/EQprjf5WBr""",b'Rita_2110',4428
